Id,Prediction
1,7
2,4
3,1
4,3
5,4
6,2
7,7
8,4
9,1
10,1
11,13
12,13
13,12
14,1
15,2
16,4
17,12
18,12
19,12
20,1
21,10
22,9
23,13
24,10
25,7
26,1
27,7
28,13
29,13
30,1
31,6
32,10
33,6
34,4
35,7
36,13
37,13
38,11
39,11
40,10
41,1
42,13
43,11
44,5
45,5
46,11
47,5
48,6
49,6
50,7
51,13
52,5
53,1
54,9
55,4
56,4
57,2
58,8
59,9
60,2
61,1
62,5
63,7
64,6
65,11
66,5
67,4
68,6
69,6
70,3
71,9
72,2
73,10
74,10
75,9
76,1
77,1
78,8
79,7
80,8
81,12
82,12
83,3
84,3
85,10
86,8
87,1
88,10
89,12
90,2
91,8
92,2
93,9
94,7
95,13
96,8
97,10
98,8
99,10
100,11
101,13
102,3
103,7
104,13
105,1
106,5
107,6
108,9
109,10
110,6
111,11
112,5
113,7
114,12
115,7
116,8
117,7
118,8
119,4
120,9
121,13
122,12
123,9
124,8
125,3
126,7
127,1
128,8
129,12
130,1
131,13
132,4
133,13
134,5
135,5
136,6
137,8
138,6
139,13
140,1
141,7
142,9
143,1
144,9
145,13
146,10
147,4
148,7
149,3
150,5
151,13
152,2
153,8
154,4
155,4
156,10
157,2
158,6
159,13
160,4
161,9
162,3
163,6
164,7
165,9
166,2
167,7
168,5
169,8
170,10
171,13
172,8
173,7
174,11
175,4
176,5
177,12
178,8
179,13
180,4
181,12
182,9
183,13
184,11
185,7
186,7
187,3
188,1
189,3
190,9
191,3
192,11
193,9
194,6
195,8
196,13
197,10
198,6
199,9
200,13
201,10
202,11
203,6
204,7
205,13
206,10
207,4
208,2
209,6
210,3
211,3
212,4
213,11
214,10
215,7
216,10
217,3
218,1
219,4
220,4
221,9
222,6
223,8
224,7
225,1
226,2
227,5
228,3
229,9
230,5
231,3
232,10
233,6
234,3
235,8
236,8
237,4
238,1
239,8
240,3
241,7
242,8
243,9
244,6
245,9
246,1
247,3
248,9
249,4
250,4
251,2
252,1
253,2
254,5
255,10
256,1
257,10
258,10
259,4
260,4
261,13
262,8
263,4
264,5
265,9
266,12
267,3
268,8
269,4
270,2
271,7
272,1
273,1
274,5
275,13
276,10
277,9
278,3
279,9
280,2
281,6
282,5
283,5
284,1
285,7
286,4
287,1
288,6
289,1
290,3
291,3
292,6
293,13
294,1
295,2
296,7
297,1
298,13
299,8
300,8
301,3
302,8
303,9
304,13
305,12
306,9
307,9
308,8
309,12
310,6
311,5
312,1
313,9
314,10
315,4
316,2
317,4
318,2
319,3
320,8
321,9
322,11
323,6
324,2
325,13
326,12
327,3
328,6
329,5
330,2
331,5
332,9
333,11
334,10
335,12
336,2
337,2
338,2
339,4
340,4
341,6
342,13
343,10
344,2
345,13
346,13
347,11
348,2
349,3
350,7
351,7
352,5
353,7
354,6
355,9
356,9
357,5
358,9
359,2
360,6
361,12
362,6
363,13
364,3
365,7
366,3
367,4
368,5
369,4
370,3
371,11
372,3
373,4
374,10
375,8
376,9
377,7
378,9
379,10
380,3
381,3
382,5
383,2
384,9
385,9
386,7
387,7
388,1
389,5
390,4
391,3
392,9
393,6
394,8
395,5
396,6
397,7
398,6
399,2
400,11
401,9
402,9
403,7
404,8
405,11
406,5
407,10
408,6
409,10
410,7
411,3
412,4
413,3
414,5
415,1
416,4
417,3
418,4
419,10
420,9
421,7
422,5
423,5
424,9
425,5
426,1
427,5
428,6
429,9
430,7
431,7
432,4
433,7
434,1
435,8
436,3
437,4
438,5
439,12
440,8
441,3
442,4
443,6
444,7
445,7
446,1
447,1
448,13
449,8
450,7
451,7
452,3
453,2
454,7
455,4
456,4
457,2
458,2
459,5
460,1
461,13
462,11
463,12
464,9
465,3
466,9
467,8
468,9
469,1
470,1
471,8
472,2
473,13
474,8
475,7
476,1
477,6
478,4
479,9
480,8
481,1
482,11
483,11
484,3
485,10
486,6
487,2
488,10
489,1
490,13
491,7
492,9
493,5
494,8
495,5
496,5
497,5
498,2
499,11
500,5
501,4
502,7
503,5
504,11
505,5
506,3
507,2
508,9
509,13
510,12
511,10
512,1
513,8
514,13
515,9
516,9
517,11
518,8
519,4
520,5
521,1
522,8
523,3
524,13
525,10
526,5
527,8
528,10
529,1
530,2
531,2
532,6
533,5
534,8
535,1
536,8
537,1
538,11
539,13
540,10
541,10
542,11
543,2
544,2
545,2
546,6
547,5
548,8
549,3
550,1
551,9
552,4
553,5
554,10
555,5
556,4
557,2
558,8
559,1
560,1
561,13
562,9
563,12
564,6
565,1
566,10
567,1
568,5
569,3
570,2
571,1
572,3
573,5
574,8
575,1
576,13
577,12
578,2
579,1
580,1
581,7
582,7
583,10
584,2
585,10
586,5
587,8
588,5
589,4
590,7
591,4
592,13
593,1
594,1
595,3
596,3
597,8
598,9
599,10
600,13
601,8
602,1
603,4
604,7
605,2
606,5
607,6
608,8
609,7
610,5
611,4
612,6
613,1
614,12
615,9
616,6
617,5
618,10
619,13
620,4
621,3
622,8
623,4
624,2
625,9
626,10
627,2
628,4
629,1
630,5
631,10
632,8
633,8
634,2
635,13
636,13
637,2
638,2
639,8
640,6
641,1
642,5
643,9
644,2
645,1
646,13
647,9
648,10
649,2
650,7
651,8
652,4
653,5
654,6
655,9
656,9
657,3
658,8
659,5
660,5
661,3
662,10
663,6
664,10
665,1
666,4
667,7
668,8
669,1
670,10
671,4
672,8
673,8
674,6
